run_id,model_id,quant,suite,repair,git_ref,verdict_source,task_id,passed,failure_tags,steps,total_tokens,trajectory_success,interface_variant,seed,temperature,tier
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_001,1,,2,2272,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_002,1,,3,3475,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_003,1,,2,2182,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_004a,1,,2,2194,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_004b,0,final_answer_missing;final_answer_shape_violation;schema_violation,6,7761,0,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_005,1,,2,2238,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_006,1,,3,3610,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_007,1,,2,2170,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_008,1,,3,3515,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_009a,1,,3,4840,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_009b,1,,2,2277,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_010,1,,1,1158,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_011,1,,2,2408,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_012,1,,2,2203,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__gate_q8_easy,bielik-minitron-7b-v3,Q8_0,subset15,off,83db813,eval.smoke.evaluate,adv_013,1,,4,5086,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_001,0,expected_tool_not_called;unknown_action,2,2384,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_002,1,,3,6365,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_003,1,,2,2182,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_004a,1,,2,2651,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_004b,0,expected_tool_not_called,2,3347,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_005,1,,2,2686,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_006,0,expected_tool_not_called;final_answer_missing;unknown_action,5,13245,0,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_007,1,,2,2180,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_008,1,,3,6398,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_009a,0,expected_tool_not_called;final_answer_missing,5,13550,0,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_009b,0,expected_tool_not_called;final_answer_missing;unknown_action,4,5724,0,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_010,0,unexpected_tool_call,2,2616,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_011,1,,2,2802,1,PL_EN,42,0.0,easy
v3_arith_clean_2026-06-18__q2_no_repair,bielik-minitron-7b-v3,Q2_K,main67,off,83db813,eval.smoke.evaluate,adv_012,1,,2,3659,1,PL_EN,42,0.0,easy
