run_id,model_id,quant,suite,repair,git_ref,verdict_source,task_id,passed,failure_tags,steps,total_tokens,trajectory_success,interface_variant,seed,temperature,rung,instance
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_a,0,unexpected_tool_call,2,2294,1,PL_EN,42,0.0,L0,a
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_b,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,b
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_c,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,c
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_d,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,d
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_e,0,unexpected_tool_call,2,2294,1,PL_EN,42,0.0,L0,e
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_f,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,f
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_g,0,no_json_found;unexpected_tool_call,4,4981,1,PL_EN,42,0.0,L0,g
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_h,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,h
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_i,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,i
L0_control_2026-09__11b_q8_no_repair,bielik-11b-v3,Q8_0,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_j,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,j
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_a,0,unexpected_tool_call,2,2294,1,PL_EN,42,0.0,L0,a
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_b,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,b
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_c,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,c
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_d,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,d
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_e,0,unexpected_tool_call,2,2294,1,PL_EN,42,0.0,L0,e
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_f,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,f
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_g,0,no_json_found;unexpected_tool_call,4,4981,1,PL_EN,42,0.0,L0,g
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_h,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,h
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_i,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,i
L0_control_2026-09__11b_q8_repair,bielik-11b-v3,Q8_0,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_j,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,j
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_a,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,a
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_b,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,b
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_c,0,unexpected_tool_call;wrong_final_answer,3,3624,1,PL_EN,42,0.0,L0,c
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_d,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,d
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_e,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,e
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_f,0,unexpected_tool_call;wrong_final_answer,3,3624,1,PL_EN,42,0.0,L0,f
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_g,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,g
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_h,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,h
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_i,0,final_answer_missing;invalid_json;schema_violation;unexpected_tool_call,8,11559,0,PL_EN,42,0.0,L0,i
L0_control_2026-09__11b_q4_no_repair,bielik-11b-v3,Q4_K_M,L0_control,off,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_j,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,j
L0_control_2026-09__11b_q4_repair,bielik-11b-v3,Q4_K_M,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_a,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,a
L0_control_2026-09__11b_q4_repair,bielik-11b-v3,Q4_K_M,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_b,0,unexpected_tool_call,3,3630,1,PL_EN,42,0.0,L0,b
L0_control_2026-09__11b_q4_repair,bielik-11b-v3,Q4_K_M,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_c,0,unexpected_tool_call;wrong_final_answer,3,3624,1,PL_EN,42,0.0,L0,c
L0_control_2026-09__11b_q4_repair,bielik-11b-v3,Q4_K_M,L0_control,on,8875ef4,run.log+eval.smoke.evaluate,v3_ext_L0_d,0,unexpected_tool_call;wrong_final_answer,3,3627,1,PL_EN,42,0.0,L0,d
